TAXA,FAMILY,SPECIES,SUBSPECIES,Common_name,spp_code_raster,Spp_code_phylogeny,mass,mass_male,mass_female,size,size_male,size_female,color_dimorphism,age_1st_rep,max_lifespan,rep_characteristics,clutch_litter_size,rep_per_year,rep_seasonality,broad_diet,activity_period,shelter_type,strata_used,pot_dispersal,endemic,rainforest_specialization,references,num_occur,AUC,model_background,realized_dist,core_realized_dist,potential_dist,core_potential_dist,elev_range,temp_range,precip_range,ENFA_marginality,ENFA_specialization,num_veg_types,veg_speciliazation,map_reliability
BIRD,Meliphagidae,Ramsayornis fasciatus,fasciatus,Bar-breasted Honeyeater,BARBHE,rf,12.5,13.2,12.3,140,.,.,0,.,.,.,2,.,3,3,1,1,4,5,0,3,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BIRD,Dicruridae,Rhipidura fuliginosa,keasti,Grey Fantail,GFAN,RF,8.6,8.5,8.9,155,26,25.4,0,.,9,10,2.5,3,2,4,1,1,4,4,0,3,1;2,761,0.699,target group,35438.4,20964.4,35438.4,20964.4,0 - 1346,16.7 - 24.8,715 - 5372,1,0.52,15,0.675,3c
BIRD,Dicruridae,Rhipidura rufifrons,intermedia,Rufous Fantail,RFAN,UF,10,10.4,9.2,160,.,.,0,.,9,10,2.5,2,3,4,1,1,4,7,0,4,1;2*,424,0.710,target group,26155.9,16516.5,26155.9,16516.5,0 - 1437,16.2 - 24.5,973 - 6505,0.99,0.51,12,0.694,3c
BIRD,Ptilonorhynchidae,Scenopoeetes dentirostris,.,Tooth-billed Bowerbird,TBBB,Sd,170,157,182,300,.,.,0,1460,16,11,1.82,1,2,2,1,3,4,5,1,6,1;2,395,0.965,grid,7515.5,3547.4,7515.6,3547.4,70 - 1362,16.6 - 23.7,1170 - 5447,1.45,1.03,9,0.85,4
BIRD,Cuculidae,Scythrops novaehollandiae,novaehollandiae,Channel-billed Cuckoo,CBILCUC,SN,684.1,708.2,660,700,.,.,0,.,8,7,4,.,2,3,1,1,4,9,0,3,1;2,78,0.805,target group,31580.2,22206.5,31580.2,22206.5,0 - 1110,18.1 - 24.6,812 - 4074,0.25,0.56,5,0.466,3bc
BIRD,Acanthizidae,Sericornis citreogularis,cairnsi,Yellow-throated Scrubwren,YTSW,Sc,16.2,16.9,15.6,140,141.3,137.7,1,.,17,10,2.5,2,3,4,1,1,4,4,0,5,1;2,438,0.959,grid,8447.1,3962.2,8447.1,3962.2,115 - 1537,15.7 - 23.9,1170 - 7392,1.46,0.98,9,0.837,4
BIRD,Acanthizidae,Sericornis frontalis,laevigaster,White-browed Scrubwren,WBSW,Sf,12.3,13.1,11.5,125,.,.,1,.,18,.,3,3,3,4,1,1,4,4,0,4,1;2,67,0.962,grid,12291.4,3271.3,12291.4,3271.3,60 - 1168,17.6 - 23.6,1170 - 2635,1.24,2.31,7,0.446,2ac
BIRD,Acanthizidae,Sericornis keri,.,Atherton Scrubwren,ASW,Sk,11.9,12,10.8,135,.,.,0,.,17,9,2,1,2,4,1,1,4,4,1,6,1;2*,166,0.971,grid,7985.5,2654.3,8211.3,2654.3,133 - 1480,16 - 23.8,1282 - 6879,1.71,1.39,7,0.825,3ad
BIRD,Acanthizidae,Sericornis magnirostris,viridor,Large-billed Scrubwren,LBSW,Sm,9.7,9.9,9.5,115,.,.,0,.,16,9,3,.,3,4,1,1,4,4,0,5,1;2,742,0.910,grid,17052.4,9112.7,17052.4,9112.7,2 - 1540,15.7 - 24.6,1170 - 7413,1.18,0.56,13,0.757,4
BIRD,Oriolidae,Sphecotheres viridis,ashbyi/flaviventris,Figbird,FIG,Sv,120,119.8,124,280,.,.,1,.,17,9,2.7,2,3,3,1,1,4,6,0,4,1;2,387,0.889,grid,22665,12782.5,22665,12782.5,0 - 1110,18.1 - 24.8,886 - 4157,0.77,0.51,14,0.335,3c
BIRD,Artamidae,Strepera graculina,robinsoni,Pied Currawong,CURR,Sg,240,270,220,480,.,.,0,.,25,10,3,1,2,3,1,1,4,7,0,4,1;2,420,0.897,grid,22028,6419.5,22028,6419.5,4 - 1540,15.7 - 24.5,828 - 7413,1.42,0.61,12,0.655,3c
BIRD,Halcyonidae,Tanysiptera sylvia,sylvia,Buff-breasted Paradise-Kingfisher,BBPK,SY,50,49.4,50.3,330,360,300,1,.,9,10,4,1,1,4,1,2,4,8,0,5,1;2,94,0.911,grid,16309.2,6139.9,16311.8,6139.9,0 - 934,19 - 24.7,1087 - 3915,0.95,0.65,6,0.633,2b
BIRD,Petroicidae,Tregellasia capito,nana,Pale-yellow Robin,PYR,Tr,14,14.2,12.8,135,.,.,0,.,13,9,2,1.5,3,4,1,1,4,4,0,5,1;2,529,0.899,grid,19600.5,9207.7,19600.5,9207.7,9 - 1294,17.4 - 24.4,920 - 4047,0.91,0.57,14,0.744,4
BIRD,Psittacidae,Trichoglossus chlorolepidotus,.,Scaly-breasted Lorikeet,SBL,Tc,86.9,88.4,85.3,240,.,.,0,.,16,10,2,3,3,3,1,1,4,7,0,3,1;3*,363,0.739,target group,32161.1,20518,32161.1,20518,0 - 1300,17.3 - 24.6,893 - 4047,0.73,0.51,15,0.572,3c
